ER5001,ER5002,ER5006,ER5013,ER5031,ER5032,ER6814,ER6993,ER72001,ER72002,ER72017,ER72024,ER72030,ER72031,ER76897,ER77448
6,4612,72,1,1,60000,1,11976,,,,,,,,
6,4231,43,1,1,7000,1,54220,,,,,,,,
6,6282,37,4,1,65000,1,65900,1,4574,61,4,5,0,1,11028
,,,,,,,,1,8597,59,4,1,160000,1,60970
6,5382,21,2,5,0,1,8157,1,6314,45,5,5,0,1,9380
,,,,,,,,1,7898,43,2,5,0,1,10000
,,,,,,,,1,7781,29,4,5,0,1,31000
,,,,,,,,1,4983,28,2,5,0,1,32726
6,6364,46,1,1,85000,1,112102,,,,,,,,
6,7182,35,1,1,59000,1,53000,,,,,,,,
6,9652,28,2,1,30000,1,3999,,,,,,,,
6,8221,51,1,1,90000,1,106003,,,,,,,,
,,,,,,,,1,4681,37,1,5,0,1,72200
,,,,,,,,1,5671,35,1,5,0,1,65100
,,,,,,,,1,6506,26,2,1,20000,1,65000
,,,,,,,,1,8968,66,1,1,235000,1,124600
6,361,51,1,1,20000,1,28049,,,,,,,,
,,,,,,,,1,6228,73,3,1,75000,1,22820
6,4137,32,1,1,25000,1,52000,1,9326,57,1,1,200000,1,67000
6,3809,28,1,1,52000,1,42000,1,5234,52,4,1,70000,1,36752
,,,,,,,,1,6282,24,2,5,0,1,47840
6,360,47,1,1,12000,1,21800,,,,,,,,
,,,,,,,,1,5026,63,3,1,90000,1,55060
,,,,,,,,1,9491,42,2,1,184000,1,85980
6,3906,72,1,5,0,1,48240,,,,,,,,
6,8912,40,1,1,100000,1,94001,1,6444,64,1,1,500000,1,243000
6,3444,22,2,1,20000,1,21999,,,,,,,,
,,,,,,,,1,8441,38,1,5,0,1,119000
,,,,,,,,1,8878,37,1,1,1500000,1,170000
,,,,,,,,1,5801,34,1,1,200000,1,185200
6,1124,50,1,1,68000,1,80501,1,4882,74,1,1,115000,1,29100
6,429,68,3,5,0,1,14275,,,,,,,,
6,6237,41,1,5,0,1,33600,1,4054,64,5,5,0,1,7596
6,433,38,4,5,0,1,22000,1,4037,63,4,5,0,1,23928
6,438,36,1,5,0,1,5482,,,,,,,,
6,1835,20,1,5,0,1,3357,,,,,,,,
,,,,,,,,1,4127,44,4,8,0,1,25000
6,9026,18,2,5,0,1,13720,1,3985,42,1,5,0,1,9452
,,,,,,,,1,4093,38,5,5,0,1,9200
,,,,,,,,1,4136,38,1,5,0,1,72000
,,,,,,,,1,4045,35,4,1,30000,1,30000
,,,,,,,,1,4355,31,2,5,0,1,45000
,,,,,,,,1,4231,29,2,5,0,1,45000
,,,,,,,,1,4308,28,1,5,0,1,102000
,,,,,,,,1,3992,27,2,1,50000,1,61200
,,,,,,,,1,4048,26,2,8,0,1,0
,,,,,,,,1,4198,22,2,5,0,1,17000
,,,,,,,,1,4077,20,2,8,0,1,1080
6,428,23,1,5,0,1,20220,,,,,,,,
,,,,,,,,1,4044,49,1,5,0,1,7200
,,,,,,,,1,3893,30,1,1,50000,1,325000
,,,,,,,,1,4092,58,1,5,0,1,15828
,,,,,,,,1,4016,26,1,1,100000,1,41610
,,,,,,,,1,4454,24,2,5,0,1,81500
,,,,,,,,1,4131,26,2,1,85000,1,83000
,,,,,,,,1,4290,31,2,8,0,1,6200
6,1125,84,3,1,54000,2,32401,,,,,,,,
,,,,,,,,1,2935,75,4,1,200000,2,24788
,,,,,,,,1,3135,55,4,8,0,2,30000
6,3445,29,2,5,0,2,11000,1,2994,53,2,8,0,2,2200
6,10261,48,1,1,60000,2,56400,1,3145,72,1,5,0,2,56000
6,10262,24,2,5,0,2,20620,,,,,,,,
,,,,,,,,1,3172,31,2,5,0,2,37000
,,,,,,,,1,3101,26,2,5,0,2,0
6,4928,33,1,5,0,2,36400,,,,,,,,
6,10207,31,5,5,0,2,23400,,,,,,,,
,,,,,,,,1,2922,52,1,1,280000,2,178438
,,,,,,,,1,3136,28,1,5,0,2,57986
6,515,83,1,1,70000,1,30886,,,,,,,,
6,513,41,5,1,95000,1,54013,1,649,66,4,1,275000,1,50433
6,329,66,1,1,150000,1,26330,,,,,,,,
,,,,,,,,1,1903,68,4,1,125000,1,28740
6,330,46,1,1,110000,1,98961,1,1634,70,1,1,300000,1,79912
6,334,41,4,1,85000,1,77054,,,,,,,,
,,,,,,,,1,2491,39,4,1,240000,1,224468
6,2665,67,4,1,9999998,1,2980,,,,,,,,
6,3446,43,2,5,0,1,9951,,,,,,,,
6,2921,31,1,1,170000,1,52001,1,1536,55,1,1,150000,1,49970
,,,,,,,,1,2738,34,1,1,120000,1,59200
,,,,,,,,1,1484,26,2,5,0,1,80000
,,,,,,,,1,1937,24,2,5,0,7,7050
6,2920,33,1,1,75000,1,70751,1,1611,57,1,1,225000,3,63250
,,,,,,,,1,2897,36,2,5,0,1,33119
6,2922,57,4,5,0,1,10117,1,8951,81,4,8,0,1,0
,,,,,,,,1,8879,56,1,1,172000,1,25229
6,3447,37,1,1,60000,1,37470,,,,,,,,
6,10181,37,1,1,157000,7,36501,,,,,,,,
,,,,,,,,1,8942,45,1,1,10000,1,42000
,,,,,,,,1,8354,29,2,8,0,3,8600
,,,,,,,,1,4578,39,1,1,127000,1,69000
6,269,84,3,1,150000,1,6976,,,,,,,,
6,1126,73,3,1,100000,1,21989,,,,,,,,
6,4613,38,4,5,0,1,44001,1,5180,62,1,1,275000,1,100500
6,5006,41,1,1,225000,1,75602,1,5937,65,1,1,1000000,1,71000
6,4654,42,1,5,0,1,67999,1,5345,66,4,1,200000,1,54909
6,3448,47,1,1,75000,1,69380,1,5638,72,4,1,175000,1,41160
6,5007,22,2,8,0,1,17929,,,,,,,,
,,,,,,,,1,4822,46,1,1,80000,1,216300
,,,,,,,,1,9518,45,4,1,349000,1,125000
,,,,,,,,1,6041,38,4,5,0,9,25692
6,8636,40,4,8,0,1,28244,,,,,,,,
6,8961,23,1,1,6000,1,47447,,,,,,,,
,,,,,,,,1,8839,44,4,1,130000,1,29600
,,,,,,,,1,6392,40,1,1,250000,1,217100
6,272,66,1,1,90000,1,56801,,,,,,,,
6,271,42,2,5,0,1,17000,1,5748,67,2,1,150000,1,8916
,,,,,,,,1,9381,37,4,5,0,1,33300
,,,,,,,,1,6714,37,4,5,0,1,39962
6,2056,62,4,1,55000,2,18000,,,,,,,,
,,,,,,,,1,4247,62,4,1,200000,2,40000
6,1127,30,4,8,0,2,48000,1,4039,54,4,8,0,2,62500
6,1128,29,4,5,0,2,21400,1,3989,53,4,1,160000,2,111000
6,3449,32,1,1,69000,2,28369,,,,,,,,
,,,,,,,,1,4137,27,1,5,0,2,88000
6,1930,76,3,5,0,1,17050,,,,,,,,
6,521,44,4,5,0,1,52039,1,8235,69,4,1,670000,1,53800
